Starting the logger (C:\Users\jose.cardenas\AppData\Local\Android\Sdk/platform-tools/adb logcat *:S ReactNative:V ReactNativeJS:V)...
--------- beginning of main
--------- beginning of system
11-13 18:32:24.422  5031  5059 D ReactNative: ReactInstanceManager.attachRootViewToInstance()
11-13 18:32:24.523  5031  5058 I ReactNativeJS: Running application "SQLApp" with appParams: {"rootTag":1}. __DEV__ === false, development-level warning are OFF, performance optimizations are ON
11-13 18:33:56.559  5224  5224 D ReactNative: ReactInstanceManager.ctor()
11-13 18:33:56.573  5224  5224 D ReactNative: ReactInstanceManager.createReactContextInBackground()
11-13 18:33:56.573  5224  5224 D ReactNative: ReactInstanceManager.recreateReactContextInBackgroundInner()
11-13 18:33:56.609  5224  5224 D ReactNative: ReactInstanceManager.recreateReactContextInBackgroundFromBundleLoader()
11-13 18:33:56.609  5224  5224 D ReactNative: ReactInstanceManager.recreateReactContextInBackground()
11-13 18:33:56.609  5224  5224 D ReactNative: ReactInstanceManager.runCreateReactContextOnNewThread()
11-13 18:33:56.622  5224  5249 D ReactNative: ReactInstanceManager.createReactContext()
11-13 18:33:56.693  5224  5249 D ReactNative: Initializing React Xplat Bridge.
11-13 18:33:56.695  5224  5249 D ReactNative: Initializing React Xplat Bridge before initializeBridge
11-13 18:33:56.701  5224  5249 D ReactNative: Initializing React Xplat Bridge after initializeBridge
11-13 18:33:56.702  5224  5249 D ReactNative: CatalystInstanceImpl.runJSBundle()
11-13 18:33:56.714  5224  5253 D ReactNative: ReactInstanceManager.setupReactContext()
11-13 18:33:56.715  5224  5253 D ReactNative: CatalystInstanceImpl.initialize()
11-13 18:33:56.716  5224  5253 D ReactNative: ReactInstanceManager.attachRootViewToInstance()
11-13 18:33:56.940  5224  5252 I ReactNativeJS: Running application "SQLApp" with appParams: {"rootTag":1}. __DEV__ === false, development-level warning are OFF, performance optimizations are ON
11-13 18:34:40.953  5224  5224 D ReactNative: ReactInstanceManager.onJSBundleLoadedFromServer()
11-13 18:34:40.953  5224  5224 D ReactNative: ReactInstanceManager.recreateReactContextInBackground()
11-13 18:34:40.953  5224  5224 D ReactNative: ReactInstanceManager.runCreateReactContextOnNewThread()
11-13 18:34:40.953  5224  5224 D ReactNative: ReactInstanceManager.tearDownReactContext()
11-13 18:34:40.953  5224  5224 D ReactNative: CatalystInstanceImpl.destroy() start
11-13 18:34:40.958  5224  5284 D ReactNative: ReactInstanceManager.createReactContext()
11-13 18:34:41.009  5224  5284 D ReactNative: Initializing React Xplat Bridge.
11-13 18:34:41.009  5224  5240 D ReactNative: CatalystInstanceImpl.destroy() end
11-13 18:34:41.010  5224  5284 D ReactNative: Initializing React Xplat Bridge before initializeBridge
11-13 18:34:41.011  5224  5284 D ReactNative: Initializing React Xplat Bridge after initializeBridge
11-13 18:34:41.012  5224  5284 D ReactNative: CatalystInstanceImpl.runJSBundle()
11-13 18:34:41.012  5224  5286 D ReactNative: ReactInstanceManager.setupReactContext()
11-13 18:34:41.012  5224  5286 D ReactNative: CatalystInstanceImpl.initialize()
11-13 18:34:41.023  5224  5286 D ReactNative: ReactInstanceManager.attachRootViewToInstance()
11-13 18:34:41.274  5224  5285 I ReactNativeJS: Running application "SQLApp" with appParams: {"rootTag":11}. __DEV__ === true, development-level warning are ON, performance optimizations are OFF
11-13 18:54:38.053  5224  5224 D ReactNative: ReactInstanceManager.onJSBundleLoadedFromServer()
11-13 18:54:38.053  5224  5224 D ReactNative: ReactInstanceManager.recreateReactContextInBackground()
11-13 18:54:38.053  5224  5224 D ReactNative: ReactInstanceManager.runCreateReactContextOnNewThread()
11-13 18:54:38.053  5224  5224 D ReactNative: ReactInstanceManager.tearDownReactContext()
11-13 18:54:38.055  5224  5224 D ReactNative: CatalystInstanceImpl.destroy() start
11-13 18:54:38.061  5224  5920 D ReactNative: ReactInstanceManager.createReactContext()
11-13 18:54:38.092  5224  5920 D ReactNative: Initializing React Xplat Bridge.
11-13 18:54:38.099  5224  5251 D ReactNative: CatalystInstanceImpl.destroy() end
11-13 18:54:38.100  5224  5920 D ReactNative: Initializing React Xplat Bridge before initializeBridge
